Morphological features	HCUG
Normalised inverse difference moment	1QCO
Inverse variance	E8JP
Correlation	NI2N
Autocorrelation	QWB0
Cluster tendency	DG8W
Cluster shade	7NFM
Cluster prominence	AE86
First measure of information correlation	R8DG
Second measure of information correlation	JN9H
Grey level run length based features	TP0I
Short runs emphasis	22OV
Long runs emphasis	W4KF
Low grey level run emphasis	V3SW
High grey level run emphasis	G3QZ
Short run low grey level emphasis	HTZT
Short run high grey level emphasis	GD3A
Long run low grey level emphasis	IVPO
Long run high grey level emphasis	3KUM
Grey level non-uniformity	R5YN
Normalised grey level non-uniformity	OVBL
Run length non-uniformity	W92Y
Normalised run length non-uniformity	IC23
Run percentage	9ZK5
Grey level variance	8CE5
Run length variance	SXLW
Run entropy	HJ9O
Grey level size zone based features	9SAK
Small zone emphasis	5QRC
Large zone emphasis	48P8
Low grey level zone emphasis	XMSY
High grey level zone emphasis	5GN9
Small zone low grey level emphasis	5RAI
Small zone high grey level emphasis	HW1V
Large zone low grey level emphasis	YH51
Large zone high grey level emphasis	J17V
Grey level non-uniformity	JNSA
Normalised grey level non-uniformity	Y1RO
Zone size non-uniformity	4JP3
Normalised zone size non-uniformity	VB3A
Zone percentage	P30P
Grey level variance	BYLV
Zone size variance	3NSA
Zone size entropy	GU8N
Grey level distance zone based features	VMDZ
Small distance emphasis	0GBI
Large distance emphasis	MB4I
Low grey level zone emphasis	S1RA
High grey level zone emphasis	K26C
Small distance low grey level emphasis	RUVG
Small distance high grey level emphasis	DKNJ
Large distance low grey level emphasis	A7WM
Large distance high grey level emphasis	KLTH
Grey level non-uniformity	VFT7
Normalised grey level non-uniformity	7HP3
Zone distance non-uniformity	V294
Zone distance non-uniformity normalised	IATH
Zone percentage	VIWW
Grey level variance	QK93
Zone distance variance	7WT1
Zone distance entropy	GBDU
Neighbourhood grey tone difference based features	IPET
Coarseness	QCDE
Contrast	65HE
Busyness	NQ30
Complexity	HDEZ
Strength	1X9X
Neighbouring grey level dependence based features	REK0
Low dependence emphasis	SODN
High dependence emphasis	IMOQ
Low grey level count emphasis	TL9H
High grey level count emphasis	OAE7
Low dependence low grey level emphasis	EQ3F
Low dependence high grey level emphasis	JA6D
High dependence low grey level emphasis	NBZI
High dependence high grey level emphasis	9QMG
Grey level non-uniformity	FP8K
Normalised grey level non-uniformity	5SPA
Dependence count non-uniformity	Z87G
Dependence count non-uniformity normalised	OKJI
Dependence count percentage	6XV8
Grey level variance	1PFV
Dependence count variance	DNX2
Dependence count entropy	FCBV
Dependence count energy	CAS9
feature aggregation	5QB6
feature computed per slice, and averaged over slices	3IDG
feature computed over the volume	DHQ4
feature computed from 2D directional matrix and averaged over 2D directions and slices	BTW3
feature computed from a single matrix after merging 2D directional matrices per slice, and averaged over slices	SUJT
feature computed from a single matrix after merging all 2D directional matrices	ZW7Z
feature computed from 3D directional matrix and averaged over 3D directions	ITBB
feature computed from a single matrix after merging all 3D directional matrices	IAZD
feature computed from 2D matrix and averaged over slices	8QNN
feature computed from a single matrix after merging all 2D matrices	62GR
feature computed from 3D matrix	KOBO
grid distances	MPUJ
manhattan norm	LIFZ
euclidean norm	G9EV
chebyshev norm	PVMT
ROI submasks	ECJF
intensity mask	SEFI
morphological mask	G5KJ
re-segmentation	IF9H
range re-segmentation	USB3
outlier filtering	7ACA
distance weighting	6CK8
volume voxel representation	LQD8
volume voxel point set representation	4KW8
volume voxel mesh representation	WRJH
discretisation	4R0B
fixed bin size	Q3RU
fixed bin number	K15C
data conversion	23XZ
image post-acquisition processing	PCDE
segmentation	OQYT
interpolation	VTM2
intensity rounding after interpolation	68QD
roi mask partial volume	E8H9
interpolation grid	UMPJ
fit to original grid	58MB
align grid origins	SBKJ
align grid centers	3WE3
align grid centers interpolation grid dimensions	026Q
align grid centers grid positions	QCY4
ROI extraction	1OBP
